Area Code,Parliamentary Constituency,Persons-2008,Males-2008,Females-2008,% aged 0-14-2008,% aged 15-34-2008,% aged 35-54-2008,% aged 55-74-2008,% aged 75+-2008,Area_sqkm-2008,Pop Density (sqkm)-2008,% of London Population-2008,% All people-2001,% White British-2001,% White Irish-2001,% White Other White-2001,% Mixed White and Black Caribbean-2001,% Mixed White and Black African-2001,% Mixed White and Asian-2001,% Mixed Other Mixed-2001,% Asian or Asian British Indian-2001,% Asian or Asian British Pakistani-2001,% Asian or Asian British Bangladeshi-2001,% Asian or Asian British Other Asian-2001,% Black or Black British Black Caribbean-2001,% Black or Black British Black African-2001,% Black or Black British Other Black-2001,% Chinese or other ethnic group Chinese-2001,% Chinese or other ethnic group Other Ethnic Group-2001,White-2001,Mixed-2001,Asian-2001,Black-2001,Chinese/Other-2001,Actual deaths-2008,Births-2008,General Fertility Rate-2008,SMR-2008,Infant Mortality rate-2008,Dwelling Stock; Total-2008,% dwellings in Bands A or B-2008,"% dwellings in Bands C, D, and E-2008","% dwellings in Bands F, G and H-2008",Dwellings in Band A-2008,Dwellings in Band B-2008,Dwellings in Band C-2008,Dwellings in Band D-2008,Dwellings in Band E-2008,Dwellings in Band F-2008,Dwellings in Band G-2008,Dwellings in Band H-2008,Unequivalised Mean Income-£-2009,% under £20k-2009,% over £50k-2009,Equivalised Mean Income-£-2009,% under £20k-2009,% over £50k-2009,Disability Living Allowance Claimants; Total-2008,16 to 59-2008,Disability Living Allowance-2008,Incapacity Benefit/Severe Disablement Allowance Claimants; Total-2008,16 to 64-2008,Incapacity Benefit/Severe Disablement Allowance-2008,Income Support Claimants; Total-2008,16 to 59-2008,Income Support-2008,% of London total-2008,Jobseekers Allowance Claimants; Total-2008,Working age-2008,Jobseekers Allowance-2008,Jobseekers Allowance Claimants; Male-2008,Male 16-64-2008,Jobseekers Allowance (Males)-2008,Jobseekers Allowance Claimants; Female-2008,Female 16-59-2008,Jobseekers Allowance (Females)-2008,Jobseekers Allowance Claimants; Aged 16-24-2008,16 to 24-2008,Jobseekers Allowance (16-24)-2008,Jobseekers Allowance Claimants; Aged 25-49-2008,25 to 49-2008,Jobseekers Allowance (25-49)-2008,Jobseekers Allowance Claimants; Aged 50 and Over-2008,50 to pension age-2008,Jobseekers Allowance (50 to pension age)-2008,Pension Credit Claimants; Total-2008,60 and over-2008,Pension Credit-2008,Claimants-Persons-Jan-10,Claimants-Males-Jan-10,Claimants-Females-Jan-10,Claimants-16-24-Jan-10,Labour Force-Persons-Jan-10,Labour Force-Males-Jan-10,Labour Force-Females-Jan-10,Labour Force-16-24-Jan-10,Rates-Persons-Jan-10,Rates-Males-Jan-10,Rates-Females-Jan-10,Rates-16-24-Jan-10,Total Notifiable Offences-2009,Violence Against The Person-2009,Sexual Offences-2009,Robbery-2009,Burglary-2009,Theft & Handling-2009,Fraud & Forgery-2009,Criminal Damage-2009,Drugs-2009,Total Notifiable Offences-2009,Violence Against The Person-2009,Sexual Offences-2009,Robbery-2009,Burglary-2009,Theft & Handling-2009,Fraud & Forgery-2009,Criminal Damage-2009,Drugs-2009,Total Fires-2006,Total Casualties-2006,Dwellings-2006,Fires per 1000 dwellings-2006,Casualties per 100 fires-2006,Total Area of All Land Types Square metres (m2)(thousands) 2005-2006,Area of Domestic Buildings-2005,Area of Non Domestic Buildings-2005,Area of Road-2005,Area of Path-2005,Area of Rail-2005,Area of Domestic Gardens-2005,Area of Greenspace-2005,Area of Water-2005,Area of Other Land Uses-2005,Area of Unclassified Land-2005,Area of Admin Geography-2005,Area of Domestic Buildings-2005,Area of Non Domestic Buildings-2005,Area of Road-2005,Area of Path-2005,Area of Rail-2005,Area of Domestic Gardens-2005,Area of Greenspace-2005,Area of Water-2005,Area of Other Land Uses-2005,Area of Unclassified Land-2005,Area of Admin Geography-2005,All VAT Based Local Units-2004,Agriculture-2004,Production-2004,Construction-2004,Motor Trades-2004,Wholesale-2004,Retail-2004,Hotels & Catering-2004,Transport-2004,Post & Telecommunications-2004,Finance-2004,Property & Business Services-2004,Education-2004,Health-2004,Public Admin & Other Services-2004,Agriculture-2004,Production-2004,Construction-2004,Motor Trades-2004,Wholesale-2004,Retail-2004,Hotels & Catering-2004,Transport-2004,Post & Telecommunications-2004,Finance-2004,Property & Business Services-2004,Education-2004,Health-2004,Public Admin & Other Services-2004,"Tranport, Post, Telecomms, and Motor Trade-2004",Average Point Score of Pupils Eligible for KS1 Assessment-2008,Average Point Score of Pupils Eligible for KS2 Assessment-2008,Average GCSE and Equivalent Point Score Per Pupil at the End of KS4-2008,Average Capped GCSE and Equivalent Point Score Per Pupil at the End of KS4-2008,Average GCSE and Equivalent Point Score Per Boy Pupil at the End of KS4-2008,Average Capped GCSE and Equivalent Point Score Per Boy Pupil at the End of KS4-2008,Average GCSE and Equivalent Point Score Per Girl Pupil at the End of KS4-2008,Average Capped GCSE and Equivalent Point Score Per Girl Pupil at the End of KS4-2008,Average Level 3 QCA Point Score Per Student-2008,Average Level 3 QCA Point Score Per Entry; All Students-2008,Extent -2007,Rank of extent (within London)-2007,Income Scale-2007,Rank of income scale (within London)-2007,Employment Scale-2007,Rank of employment scale (within London)-2007,Average Score-2007,Rank of average score (within London)-2007,Average Rank-2007,Rank of average rank (within London)-2007,Local Concentration-2007,Rank of Local Concentration (within London)-2007,Highest SOA rank (national)-2007,Highest SOA rank (London)-2007,Number of SOAs in PC-2007,In worst 5%-2007,In worst 10%-2007,In worst 20%-2007,Above average (in worst 50%)-2007,% of SOAs in worst 20% in England-2007,IDACI-2007,Rank of IDACI (within London)-2007,IDAOPI-2007,Rank of IDAOPI (within London)-2007
A11,Barking,112063,54745,57320,23,29,28,14,6,21.7,5165,1.5,100,79,2,3,1,0,0,0,3,3,1,1,2,5,1,1,1,87479,2128,6483,8162,1064,820,2502,98.8,101,4.8,44995,23,76,1,4642,5743,28965,4168,1155,278,35,9,31000,32,15,28000,40,11,5915,67488,8.8,5570,72065,7.7,7530,67488,11.2,2.1,2590,69759,3.7,1775,35896,4.9,815,33863,2.4,840,12430,6.8,1400,43943,3.2,350,13386,2.6,5500,17507,31.4,4185,2855,1320,1180,47601,27310,20291,6378,8.8,10.5,6.5,18.5,13368,3436,163,611,1516,3958,797,1898,759,119,31,2,6,14,35,7,17,7,318,27,44995,7.1,8.5,20866,9,6,14,1,3,25,28,3,12,0,104,1898,1212,2885,178,527,5263,5778,575,2550,0,21693,2060, -   ,10,11,5,11,17,7,8,1,1,19,2,2,7, -   ,205,230,95,220,345,135,155,25,25,390,45,35,150,13,15,27.5,372,301,356,289,386,312,651,203,0.51,13,30667,12,8828,17,35.56,14,6582,14,29426,34,682,18,71,1,8,37,69,52,42.27,19,28.11,24
A20,Battersea,100212,49324,50888,15,42,29,10,3,11,9128,1.3,100,65,3,10,1,1,1,1,2,1,0,1,6,5,1,1,1,68444,2901,3774,10934,1632,546,1801,58.5,116,3.9,48096,12,62,26,2241,3557,12661,10488,6853,6315,5184,797,46000,17,35,45000,20,33,3140,73722,4.3,3320,76617,4.3,3860,73722,5.2,1.1,1435,75107,1.9,955,37960,2.5,480,37147,1.3,310,9820,3.2,905,56665,1.6,220,8622,2.6,3410,10418,32.7,2475,1645,825,535,59395,31662,27733,5744,4.2,5.2,3,9.3,9699,1847,89,445,1077,4250,320,946,605,97,18,1,4,11,42,3,9,6,150,27,48096,3.1,18,10670,14,9,19,1,6,16,19,3,13,0,103,1496,1006,1980,109,628,1657,2042,364,1388,0,10978,4585,0,6,4,2,9,12,7,2,1,1,36,1,2,17,5,270,160,70,415,530,335,100,40,45,1670,60,75,785,5,15.3,28.1,384,303,376,298,396,311,665,205,0.16,40,14997,50,5891,45,21.96,44,14416,45,29620,29,3488,543,58,0,0,9,32,16,32.39,40,28.29,23
A22,Beckenham,83644,40168,43477,16,25,30,20,9,34.5,2425,1.1,100,88,2,4,1,0,1,1,2,0,0,1,1,1,0,1,0,76097,1353,2059,1348,796,773,932,54.5,88,2.1,37263,4,65,30,428,1204,5842,8415,10029,6175,4775,395,46000,16,35,42000,19,30,2145,49816,4.3,1685,54813,3.1,1430,49816,2.9,0.4,655,52301,1.3,440,26833,1.6,215,25468,0.8,165,8243,2,355,31013,1.1,135,13045,1,2035,19143,10.6,1290,895,400,335,40704,22122,18582,4341,3.2,4,2.2,7.7,4777,1040,60,126,835,1525,289,645,204,57,12,1,2,10,18,4,8,2,192,12,37263,5.2,6.3,34504,7,2,9,0,0,29,49,0,4,0,100,2234,627,3042,136,126,10105,16796,116,1322,0,34492,2505,0,5,14,3,5,12,6,4,1,2,35,2,1,10,10,125,350,75,130,305,155,95,20,40,880,40,35,255,8,16.2,28.9,424,337,412,333,441,346,729,214,0.02,67,6491,73,2678,73,9.91,71,24590,71,30337,17,4494,794,54,0,0,1,7,2,11.69,72,9.24,73
A24,Bermondsey and Old Southwark,125497,62896,62603,16,41,28,11,4,11.5,10944,1.6,100,55,3,9,1,1,1,1,2,0,2,1,4,15,1,2,2,73158,3803,5167,22217,4034,641,1857,52.3,93,8.6,56201,40,50,10,6925,15634,13417,8004,6890,3484,1649,198,36000,26,24,36000,30,23,5155,88778,5.8,5710,92541,6.2,7180,88778,8.1,2,2555,90624,2.8,1740,47133,3.7,815,43491,1.9,695,16201,4.3,1500,62595,2.4,360,11828,3,4865,14955,32.5,4045,2785,1280,1000,62988,35323,27665,5804,6.4,7.9,4.6,17.2,17010,3830,190,839,1617,6746,633,1370,1450,136,31,2,7,13,54,5,11,12,225,36,56201,4,16,10784,9,15,21,2,2,8,19,5,19,0,106,1005,1642,2235,169,234,880,2015,561,2043,0,11465,5740, -   ,7,3,1,6,8,9,3,2,3,41,2,2,14, -   ,385,185,75,335,455,505,190,100,160,2365,105,100,775,6,14.5,27.6,361,288,337,273,376,300,609,203,0.48,15,27570,14,9598,11,33.03,17,8173,19,29528,32,2134,239,74,0,6,42,67,57,45.26,16,32.92,14
A26,Bethnal Green and Bow,114665,55898,58766,21,41,25,10,4,9.2,12514,1.5,100,42,2,6,1,0,1,1,2,1,37,1,3,3,0,1,1,50233,2432,40715,5989,1883,642,2014,60.1,107,3,47911,30,65,5,747,13667,18610,7011,5729,1701,412,34,34000,29,20,32000,35,19,5225,77415,6.7,6180,80141,7.7,7865,77415,10.2,2.2,3860,78681,4.9,2735,38993,7,1125,39688,2.8,1205,15512,7.8,2125,53983,3.9,530,9186,5.8,6180,12476,49.5,5055,3560,1485,1390,48044,27786,20258,5608,10.5,12.8,7.3,24.8,13797,3074,159,471,1119,4921,536,1484,1813,120,27,1,4,10,43,5,13,16,285,45,47911,5.9,15.8,9137,11,14,23,1,2,10,22,2,16,0,100,1019,1269,2058,122,165,939,1976,148,1441,0,9163,4625, -   ,10,4,2,13,12,8,3,1,3,28,2,2,13, -   ,460,170,75,610,540,355,130,65,155,1285,95,100,585,6,14.5,27.6,392,310,382,302,396,314,615,198,0.82,3,44976,3,10506,7,46.04,2,3658,2,31782,2,258,2,67,15,36,58,67,87,65.27,2,52.97,1
A29,Bexleyheath and Crayford,83028,40802,42225,19,28,28,19,7,22.8,3634,1.1,100,90,1,2,0,0,0,0,2,0,0,0,1,1,0,1,0,77933,969,2376,1504,608,717,1176,66.6,105,3.4,35700,15,81,4,1668,3625,11363,10017,7492,1240,284,11,39000,23,25,34000,29,19,3565,49585,7.2,2665,54205,4.9,2700,49585,5.4,0.7,990,51817,1.9,650,26749,2.4,340,25068,1.4,325,9393,3.5,540,30757,1.8,125,11667,1.1,2870,16758,17.1,1805,1215,580,530,39614,22034,17579,5525,4.6,5.5,3.3,9.6,6162,1486,61,119,764,2020,197,1102,329,74,18,1,1,9,24,2,13,4,129,12,35700,3.6,9.3,21814,9,4,12,1,1,31,34,2,7,0,105,1899,854,2541,121,140,6825,7413,406,1614,0,22850,2250, -   ,9,17,5,6,15,6,6,2,1,20,2,1,9, -   ,205,390,105,130,340,145,125,35,30,450,50,30,195,12,15.3,28,385,308,367,292,397,321,699,207,0.09,49,11140,63,3871,65,17.01,56,18364,60,27139,49,4320,750,56,0,0,7,24,13,20.95,58,13.54,64
A62,Brent Central,121942,58861,63080,20,32,30,14,5,18.3,6668,1.6,100,28,9,11,1,1,1,1,12,4,0,3,14,10,2,1,2,53806,4653,22665,29630,3733,668,2258,73.8,86,8,48338,17,79,5,1696,6406,15844,14597,7629,1433,697,36,34000,29,18,30000,37,14,4915,78965,6.2,6070,83142,7.3,7680,78965,9.7,2.1,3195,80843,4,2185,40169,5.4,1010,40674,2.5,725,13666,5.3,1955,53465,3.7,510,13712,3.7,5565,17558,31.7,5180,3520,1660,1180,55315,29518,25797,5366,9.4,11.9,6.4,22,13711,3362,138,910,1713,3866,538,1453,1574,112,28,1,8,14,32,4,12,13,213,30,48338,4.4,14.1,18402,12,9,16,1,5,24,19,3,11,0,99,2193,1698,2941,176,845,4497,3508,482,2062,0,18288,3890, -   ,7,9,4,14,13,6,3,2,1,26,1,2,12, -   ,280,335,150,550,500,235,125,70,30,1015,50,75,465,9,14.3,27.4,382,306,363,293,400,318,633,198,0.39,19,33017,9,10403,8,33.64,16,7689,15,31075,12,857,35,76,6,12,28,76,37,47.45,12,29.57,20
A63,Brent North,115721,56910,58810,19,26,31,17,6,20.8,5566,1.5,100,27,5,6,1,0,1,1,30,5,1,7,7,6,1,1,2,41757,3456,46312,15274,3963,695,1925,77.2,75,4.2,40723,7,80,13,429,2560,10803,10801,11047,3318,1734,31,37000,25,22,32000,34,15,4030,71440,5.6,4215,76667,5.5,4310,71440,6,1.2,1505,74009,2,1005,38140,2.6,500,35869,1.4,350,11191,3.1,925,46356,2,230,16462,1.4,4935,20602,24,2550,1675,875,620,52817,29900,22917,3589,4.8,5.6,3.8,17.3,10097,2493,93,615,1334,3037,672,937,802,87,22,1,5,12,26,6,8,7,186,27,40723,4.6,14.5,20745,10,5,14,1,2,35,26,0,8,0,100,2106,1075,2848,132,369,7150,5426,74,1566,0,20792,3555, -   ,5,8,4,13,14,7,3,1,1,30,1,2,10, -   ,190,280,135,465,490,260,120,50,50,1055,50,70,340,9,14.9,27.9,421,333,403,321,437,344,704,208,0.1,46,22109,31,6451,36,24.1,40,12109,39,27766,44,780,26,73,1,1,5,57,7,32.38,41,25.49,31
A64,Brentford and Isleworth,114865,55716,59150,18,32,31,15,5,26.8,4290,1.5,100,58,4,9,1,0,1,1,13,3,1,2,2,3,0,1,2,73765,3463,19714,4855,3546,673,2061,70,88,6.8,49282,9,73,18,879,3439,10258,16533,9399,4448,3561,765,42000,20,30,39000,24,26,4140,76318,5.4,4060,81152,5,4375,76318,5.7,1.2,1255,78618,1.6,855,39396,2.2,400,39222,1,360,11224,3.2,725,52780,1.4,170,14614,1.2,3790,16962,22.3,2565,1640,910,625,60979,32662,28317,5175,4.2,5,3.2,12.1,12142,2597,118,316,1322,4984,535,1304,767,106,23,1,3,12,43,5,11,7,246,15,49282,5,6.1,27019,8,5,12,1,1,21,38,4,9,0,99,2198,1469,3344,242,304,5555,10252,1181,2475,0,26825,4995,0,5,5,2,8,12,6,3,1,1,36,2,2,16,5,250,235,110,375,590,315,170,70,65,1790,110,80,815,7,15.6,28.5,420,332,417,322,422,340,722,214,0.08,50,17557,43,5919,44,20.26,49,15018,49,27375,47,2377,289,69,0,2,5,36,7,27.34,47,21.82,37
A75,Bromley and Chislehurst,86163,41444,44721,18,28,28,17,9,29.4,2929,1.1,100,87,2,4,1,0,1,0,2,0,0,1,1,1,0,1,1,77149,1415,2550,1510,1127,908,1216,64.9,103,5.8,38012,8,68,24,543,2571,9308,9682,6809,3893,4769,437,43000,19,31,40000,23,26,3140,51400,6.1,2715,55749,4.9,2970,51400,5.8,0.8,990,53466,1.9,670,27493,2.4,320,25973,1.2,325,9232,3.5,515,32994,1.6,150,11240,1.3,3110,17975,17.3,1770,1160,610,475,40886,22701,18185,5039,4.3,5.1,3.4,9.4,8671,1996,84,172,1091,2922,527,1350,412,101,23,1,2,13,34,6,16,5,147,33,38012,3.9,22.4,29389,8,2,11,0,1,34,40,0,4,0,100,2316,705,3101,130,276,9845,11727,75,1214,0,29415,3140,0,6,11,2,5,15,6,4,1,2,35,2,2,9,5,175,335,70,165,475,190,115,25,70,1090,50,55,295,7,15.7,28.2,429,328,389,309,466,345,727,208,0.07,53,11519,61,3930,64,16.47,58,18778,61,26642,55,3305,500,57,0,0,4,19,7,20.83,59,14.91,60
A86,Camberwell and Peckham,116995,56027,60967,21,32,30,12,4,11.4,10272,1.5,100,45,3,6,2,1,1,1,1,0,1,1,12,21,3,2,2,56647,4277,3460,36948,3537,736,2498,81.4,111,5.6,50574,46,52,2,4765,18669,14939,7881,3304,588,393,35,33000,30,18,32000,35,16,5765,76274,7.6,6410,80020,8,8305,76274,10.9,2.3,3390,77958,4.3,2425,38464,6.3,965,39494,2.4,890,10517,8.5,1985,55718,3.6,510,11723,4.4,5510,14569,37.8,5025,3550,1475,1315,52414,27689,24725,3772,9.6,12.8,6,34.9,15532,4170,193,804,1252,3797,635,1455,2882,133,36,2,7,11,33,5,12,25,264,27,50574,5.2,10.2,11382,13,9,18,1,1,20,25,0,13,0,100,1498,968,2074,158,145,2225,2823,5,1486,0,11391,2385, -   ,8,6,4,6,17,9,3,1,2,24,3,2,17, -   ,195,145,85,150,400,215,70,20,35,565,70,55,400,7,14.2,27.3,369,296,340,276,402,317,609,201,0.58,9,32697,10,10721,5,36.81,12,6159,11,30037,24,1282,87,70,1,10,51,68,73,45.15,17,34.25,11
A92,Carshalton and Wallington,93072,45431,47641,20,27,30,16,6,25.5,3650,1.2,100,85,2,3,1,0,1,0,2,1,0,1,2,1,0,1,1,81843,1924,3824,2882,951,693,1350,65.5,99,5.9,38642,10,77,12,360,3628,14030,10165,5717,3324,1387,31,40000,22,26,36000,28,21,3660,56951,6.4,3120,61485,5.1,3300,56951,5.8,0.9,1060,59128,1.8,705,30218,2.3,355,28910,1.2,330,9903,3.3,545,36522,1.5,185,12703,1.5,3125,16288,19.2,2125,1420,705,600,45479,24873,20606,5622,4.7,5.7,3.4,10.7,6496,1340,88,174,871,2355,204,1146,245,70,14,1,2,9,25,2,12,3,159,15,38642,4.1,9.4,25663,8,3,10,1,1,28,41,1,8,0,99,1991,871,2619,132,137,7121,10513,215,2064,0,25496,2535,1,9,16,4,7,12,5,3,1,1,27,2,2,10,15,220,410,110,170,315,125,85,35,30,685,45,40,240,9,15.8,28.2,402,321,401,312,402,330,725,213,0.07,54,13185,54,4382,58,16.9,57,18211,59,26268,59,4849,887,61,0,0,2,26,3,21.97,56,15.87,56
B01,Chelsea and Fulham,107330,51172,56159,15,35,30,15,6,9.1,11766,1.4,100,61,4,20,1,1,1,1,1,1,1,1,2,3,1,1,2,84550,3135,3498,5461,3105,659,1510,49.8,85,2,53040,3,48,48,194,1588,5645,10645,9342,6858,12614,6154,46000,17,35,46000,18,34,3120,73103,4.3,3500,77659,4.5,3815,73103,5.2,1,1185,75247,1.6,735,36979,2,450,38268,1.2,255,8956,2.8,785,53976,1.5,145,12315,1.2,3555,16941,21,2055,1260,785,435,56496,30402,26094,4282,3.6,4.1,3,10.2,10656,1944,84,271,995,5255,399,871,725,99,18,1,3,9,49,4,8,7,201,30,53040,3.8,14.9,9704,16,9,18,1,1,16,14,15,11,0,94,1589,913,1784,69,59,1503,1344,1411,1031,0,9119,6535,0,5,2,1,6,15,7,2,1,2,42,1,1,16,5,330,145,60,395,950,480,125,35,115,2745,60,75,1025,3,15.3,28,395,319,388,309,394,322,681,206,0.1,45,13851,53,5361,49,21.44,46,14234,44,27514,46,2977,417,67,0,1,6,37,9,23.36,53,18.15,52
