B92,Hackney North and Stoke Newington,117734,57679,60057,23,36,28,10,4,9.1,12974,1.5,100,45,3,14,1,1,1,1,5,1,3,1,10,10,2,1,2,64961,4309,10982,23220,3083,567,2643,83,98,7.2,48174,32,61,7,2989,12466,16053,7832,5605,2790,419,20,35000,28,21,33000,34,18,5130,77775,6.6,6055,80951,7.5,7915,77775,10.2,2.2,3165,79208,4,2200,39582,5.6,965,39626,2.4,695,13157,5.3,1985,55373,3.6,485,10678,4.5,5200,12103,43,4810,3255,1560,940,52883,28390,24493,4922,9.1,11.5,6.4,19.1,11691,2811,206,471,1165,3990,416,1042,1415,99,24,2,4,10,34,4,9,12,315,54,48174,6.5,17.1,9054,16,8,19,1,0,24,19,3,10,0,100,1411,722,1756,73,37,2183,1748,230,895,0,9074,2745, -   ,8,4,2,8,18,7,2,0,1,32,2,2,16, -   ,220,95,40,220,500,180,40,10,25,865,50,40,440,3,14.3,27.3,374,308,351,290,394,324,629,208,0.78,4,39928,6,10664,6,43.75,4,4071,4,31429,6,741,21,73,10,31,62,73,85,48.43,10,42.24,6
B93,Hackney South and Shoreditch,105623,51580,54040,20,35,28,12,4,10,10573,1.4,100,44,3,11,2,1,1,1,2,1,3,1,11,15,3,2,2,55507,4192,6432,26789,3349,561,1792,63.4,95,5,48295,43,53,4,1932,18732,13803,8547,3426,1157,676,22,33000,30,19,32000,34,18,5565,70131,7.9,6880,73580,9.4,9530,70131,13.6,2.6,3225,71798,4.5,2230,35872,6.2,995,35926,2.8,850,12364,6.9,1895,48487,3.9,480,10947,4.4,5525,13075,42.3,5015,3335,1685,1170,46635,25564,21071,4466,10.8,13,8,26.2,16340,3508,200,467,1545,6416,426,1277,2277,155,33,2,4,15,61,4,12,22,231,30,48295,4.8,13,10004,11,11,20,2,1,14,27,2,13,0,100,1105,1139,1960,174,104,1347,2679,186,1310,0,9990,4730,0,12,3,1,7,9,6,2,1,1,37,2,2,16,5,580,145,50,350,410,300,95,50,60,1745,85,85,760,4,14.3,26.4,348,286,328,270,361,297,621,204,0.9,1,36360,7,11178,4,48.8,1,2892,1,31678,3,451,5,64,17,45,60,64,94,58.12,4,43.93,3
B98,Hammersmith,116349,57422,58928,15,39,29,12,4,11.5,10151,1.5,100,55,5,14,1,1,1,1,2,1,1,1,6,6,1,1,2,80167,4520,5509,14416,3322,620,1770,52.7,94,2.8,51703,14,67,20,2925,4231,10016,15776,8599,5174,4193,789,39000,23,26,38000,25,25,4875,83091,5.9,5945,86824,6.8,7045,83091,8.5,1.9,2525,84845,3,1730,43222,4,795,41623,1.9,610,12218,5,1505,61258,2.5,410,11369,3.6,4605,14356,32.1,3910,2625,1300,805,61369,32974,28395,5295,6.4,8,4.6,15.2,15814,3296,151,463,1290,6940,604,1302,1522,136,28,1,4,11,60,5,11,13,246,30,51703,4.8,12.2,11315,14,11,18,1,5,18,22,0,12,0,101,1552,1228,2060,98,507,2007,2509,40,1315,0,11464,5355,0,5,3,2,5,10,8,3,1,1,39,2,2,20,5,290,140,95,265,550,420,155,40,70,2085,85,110,1050,5,15.1,28.1,386,310,362,291,399,323,662,204,0.34,24,25516,20,9263,13,30.69,24,8912,21,29871,27,1906,195,72,0,6,26,66,36,42.88,18,28.62,21
B99,Hampstead and Kilburn,120515,58292,62223,16,34,31,14,5,12.8,9450,1.6,100,49,6,18,1,1,1,1,4,1,2,1,5,6,1,2,3,83304,4532,9153,12932,4871,722,2051,62.1,90,4.9,58241,13,58,29,1507,5996,10940,12512,10491,6649,7403,2743,43000,19,30,42000,21,29,4395,82811,5.3,5260,87713,6,5795,82811,7,1.6,2125,85161,2.5,1430,42940,3.3,695,42221,1.6,425,9159,4.6,1395,62310,2.2,305,13692,2.2,4865,17681,27.5,3360,2195,1155,605,62471,33636,28835,3947,5.4,6.5,4,15.3,11427,2034,99,533,1823,4703,320,1130,690,95,17,1,4,15,39,3,9,6,261,48,58241,4.5,18.4,12738,16,5,17,1,2,32,21,0,6,0,100,2001,690,2204,97,307,4018,2652,50,720,0,12753,5460,0,5,3,2,6,11,7,2,1,1,37,2,2,23,5,280,155,100,310,585,365,105,45,65,2015,85,105,1270,5,15.2,28.4,394,317,373,299,411,330,680,212,0.2,37,22438,29,8577,19,25.01,38,12318,40,29537,31,1317,90,77,1,4,17,52,22,32.97,36,25.86,29
C04,Harrow East,92703,45222,47481,18,28,29,17,7,23.7,3910,1.2,100,46,5,4,1,0,1,1,27,2,1,5,3,3,1,1,1,48277,2087,30402,5346,2184,667,1390,68.4,82,1.4,35562,4,80,16,129,1141,5836,11961,10799,2713,2324,659,40000,21,27,34000,30,19,3450,57068,6,3100,61498,5,2985,57068,5.2,0.8,980,59172,1.7,650,30539,2.1,330,28633,1.2,260,10077,2.6,555,36157,1.5,165,12938,1.3,4100,17670,23.2,1965,1300,660,465,43881,24345,19536,3679,4.5,5.3,3.4,12.6,5987,1364,80,183,1058,1811,323,716,364,65,15,1,2,11,20,4,8,4,120,12,35562,3.4,10,23680,9,2,11,1,0,32,41,1,5,0,100,2008,509,2598,130,80,7555,9580,140,1080,0,23708,2965, -   ,5,9,3,11,11,5,3,1,1,40,2,1,7, -   ,155,275,90,325,335,135,90,30,40,1195,45,35,220,7,15.2,28.4,421,334,398,319,441,347,735,212,0.02,64,15203,49,4590,56,16.43,59,17768,56,24292,65,6217,1275,60,0,0,1,24,2,25.33,49,20.61,43
C05,Harrow West,95772,47145,48630,18,33,29,15,5,17.9,5363,1.2,100,48,5,5,1,0,1,1,20,3,1,7,4,3,1,1,2,50886,3125,26054,6560,2639,546,1487,63.7,81,5.4,36822,5,85,10,101,1759,9697,13210,8554,2591,771,139,41000,20,28,36000,27,21,3235,62467,5.2,3070,66511,4.6,3230,62467,5.2,0.9,1165,64350,1.8,745,32845,2.3,420,31505,1.3,285,11164,2.6,685,41211,1.7,190,11975,1.6,3345,15091,22.2,2235,1440,795,510,49512,26686,22826,4709,4.5,5.4,3.5,10.8,7433,1642,101,235,1017,2534,398,955,448,78,17,1,3,11,27,4,10,5,105,9,36822,2.9,8.6,17887,10,4,13,1,1,35,29,0,7,0,100,1839,718,2319,126,230,6169,5264,29,1193,0,17857,3465, -   ,5,9,3,9,14,6,3,1,2,36,1,2,9, -   ,160,300,105,315,490,195,95,40,70,1250,50,80,300,7,15.8,28.4,415,336,398,325,433,348,723,203,0.03,61,15453,47,4820,53,16.39,60,18111,58,24926,62,3289,494,58,0,0,1,21,2,25.86,48,20.28,46
C10,Hayes and Harlington,96612,47573,49040,21,31,28,14,5,45,2145,1.3,100,62,3,3,1,0,1,1,16,3,1,3,2,3,0,1,1,63394,2532,20773,4964,1627,633,1994,86.3,102,3,38205,9,89,2,381,3107,8674,22809,2510,622,84,18,35000,26,20,31000,35,15,3895,60354,6.5,3940,64295,6.1,5065,60354,8.4,1.4,1535,62306,2.5,1005,31741,3.2,530,30565,1.7,505,10508,4.8,840,40002,2.1,190,11796,1.6,3445,14266,24.1,3245,2130,1115,860,45767,25202,20565,4953,7.1,8.5,5.4,17.4,13007,2928,135,362,1594,4500,764,1504,835,135,30,1,4,17,47,8,16,9,240,30,38205,6.3,12.5,44987,4,5,10,1,0,14,44,2,20,0,100,1903,2257,4533,317,129,6424,19909,758,8758,0,45054,3200,0,7,9,4,8,13,9,16,3,1,21,1,1,6,10,235,290,125,250,420,285,500,90,40,685,35,20,205,22,14.9,27,368,296,349,284,387,306,636,193,0.14,41,21194,35,6289,38,25.08,37,11419,34,27122,50,4946,913,63,0,0,10,53,16,35.29,30,21.21,41
C14,Hendon,110803,53570,57233,21,30,28,15,6,31.3,3535,1.4,100,54,4,9,1,1,1,1,11,2,1,3,2,7,1,3,3,69744,3400,16595,9583,5603,663,1939,75,83,3.6,44229,11,69,20,504,4318,9995,11526,8989,4363,4027,507,39000,23,25,35000,30,19,4045,68383,5.9,4125,73176,5.6,5195,68383,7.6,1.4,1540,70656,2.2,1020,35439,2.9,520,35217,1.5,410,12701,3.2,865,43870,2,265,14085,1.9,4210,17999,23.4,2700,1750,935,615,49821,27420,22401,4607,5.4,6.4,4.2,13.3,9869,1993,97,323,1262,3645,688,1029,709,89,18,1,3,11,33,6,9,6,171,24,44229,3.9,14,31098,7,3,12,1,1,23,47,1,6,0,101,2187,1008,3843,228,287,7043,14474,196,1834,0,31341,4030,0,5,5,2,12,15,5,3,2,1,37,1,2,11,10,190,195,95,480,610,205,105,60,55,1475,50,65,435,7,15.5,28.2,406,328,393,317,418,338,699,208,0.21,35,22934,26,6406,37,25.21,36,12059,35,29423,35,2480,312,69,0,5,12,49,17,32.36,42,21.62,39
C23,Holborn and St. Pancras,126883,62061,64823,18,35,29,13,4,13.2,9614,1.7,100,52,5,13,1,1,1,1,2,1,9,1,2,7,1,2,3,85307,4590,15483,10875,5188,698,1726,50,101,2.9,59012,15,66,20,1680,6852,13452,16243,8965,5157,5173,1490,36000,26,22,36000,28,22,6955,86887,8,7950,91547,8.7,9020,86887,10.4,2.5,2785,89166,3.1,1920,44956,4.3,865,44210,2,580,14325,4,1715,60075,2.9,490,14766,3.3,6035,16436,36.7,4150,2755,1395,1005,56899,30927,25972,4030,7.3,8.9,5.4,24.9,25316,4426,182,659,2111,12164,640,1847,2922,200,35,1,5,17,96,5,15,23,345,30,59012,5.8,8.7,13263,10,16,20,2,3,12,25,1,10,0,100,1386,2100,2640,241,400,1645,3330,136,1385,0,13198,15205,0,6,1,1,6,9,7,2,1,2,47,2,2,16,15,920,190,90,870,1300,1105,295,110,280,7180,230,230,2375,3,14.8,27.8,369,307,350,288,390,325,628,201,0.42,17,35238,8,12784,1,32.31,18,8360,20,30099,21,1561,134,81,1,8,36,75,44,45.28,15,33.69,12
C24,Hornchurch and Upminster,100964,49021,51945,16,27,28,20,10,57.7,1751,1.3,100,93,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,95194,931,1691,974,567,1024,1104,53.8,98,0.9,43046,15,72,13,3219,3091,11185,11156,8615,3702,1853,225,39000,23,25,34000,30,19,4040,59742,6.8,3325,65693,5.1,2975,59742,5,0.8,1090,62568,1.7,680,32729,2.1,410,29839,1.4,385,11577,3.3,510,35829,1.4,195,15162,1.3,4365,23793,18.3,2380,1650,735,700,47889,27093,20796,7062,5,6.1,3.5,9.9,5957,1096,81,86,1236,1868,265,989,287,59,11,1,1,12,19,3,10,3,168,15,43046,3.9,8.9,57041,5,1,7,0,0,18,64,1,3,0,101,2649,789,4050,200,242,10480,36214,700,1717,0,57648,2550,1,7,19,5,7,15,6,4,1,2,24,2,1,9,20,165,485,115,170,390,150,110,30,45,600,40,25,225,10,16,28.6,414,321,413,319,417,324,757,198,0.08,51,12337,59,4711,55,15.69,62,19788,63,26921,51,4175,717,66,0,0,5,22,8,17.77,62,14.6,62
C25,Hornsey and Wood Green,116955,56157,60799,18,37,29,13,4,16.5,7108,1.5,100,57,5,15,1,1,1,1,3,1,1,1,5,5,1,1,2,81715,4439,6159,12057,2664,619,1854,56,96,3.2,51265,13,68,19,1892,4801,13412,13892,7374,4733,4542,619,43000,19,31,41000,23,28,4285,80756,5.3,4765,84926,5.6,5580,80756,6.9,1.5,2360,82723,2.9,1655,40872,4,705,41851,1.7,645,11180,5.8,1415,58851,2.4,300,12692,2.4,4155,14531,28.6,3970,2690,1280,885,61736,32577,29159,4786,6.4,8.3,4.4,18.5,11793,1935,108,413,1785,4774,587,1312,768,101,17,1,4,15,41,5,11,7,258,33,51265,5,12.8,16387,14,5,15,1,2,30,27,0,7,0,100,2229,759,2491,191,275,4861,4461,62,1057,0,16453,4275,0,6,4,2,6,15,6,2,1,1,34,2,2,22,15,255,155,80,260,620,235,65,30,30,1455,90,65,945,4,15.5,28.3,390,320,371,306,406,331,695,214,0.27,30,23057,25,8202,25,27.5,30,11063,31,30176,20,1612,140,72,2,7,18,56,25,36.06,26,28.04,25
C32,Ilford North,94853,46418,48436,20,26,29,19,7,29,3272,1.2,100,70,2,4,1,0,1,1,9,3,1,3,3,2,0,1,1,67858,1987,13938,4642,1381,657,1292,63.9,85,2.3,38148,12,79,9,1003,3746,8344,12469,9191,2659,667,69,40000,21,26,35000,28,19,3905,56097,7,3345,61294,5.5,3575,56097,6.4,1,1260,58596,2.2,795,29896,2.7,465,28700,1.6,380,9058,4.2,635,35851,1.8,245,13687,1.8,3955,18566,21.3,2315,1495,815,590,43035,23755,19280,4115,5.4,6.3,4.2,14.3,7457,1318,74,256,1262,2451,490,944,598,79,14,1,3,13,26,5,10,6,117,24,38148,3.1,20.5,29016,7,2,10,0,1,22,51,1,5,0,100,2045,707,3014,114,158,6467,14911,272,1328,0,28975,2130,0,8,11,4,9,16,5,4,1,1,27,2,2,10,5,160,240,90,195,330,115,75,30,25,570,45,35,215,9,15.8,28.3,404,326,393,318,415,334,696,208,0.06,56,15745,46,4916,51,18.98,52,15885,52,26417,57,3288,493,61,0,0,3,31,5,24.28,51,19.54,49
C33,Ilford South,113440,56069,57370,22,31,29,14,5,15.7,7222,1.5,100,39,3,4,1,0,1,1,22,11,3,4,6,5,1,1,1,48114,2951,41914,12146,1481,791,2169,82.7,107,6,41384,16,81,4,458,6142,11511,15900,5934,1159,264,16,37000,24,23,32000,33,16,4615,71020,6.5,4510,75583,6,5675,71020,8,1.6,2395,73254,3.3,1590,37771,4.2,805,35483,2.3,675,13349,5.1,1350,45724,3,370,14181,2.6,4385,16440,26.7,3790,2520,1260,995,49977,28641,21335,5071,7.6,8.8,5.9,19.6,12791,2413,119,520,1526,4719,742,1232,1389,113,21,1,5,14,42,7,11,12,153,12,41384,3.7,7.8,15699,13,4,17,1,1,36,20,1,6,0,100,2109,655,2654,132,219,5687,3163,134,945,0,15712,2570, -   ,5,11,4,9,20,6,4,2,2,27,2,3,8, -   ,115,275,90,225,515,165,90,40,45,690,45,70,205,9,15.3,27.9,429,331,404,317,454,347,691,211,0.11,44,26711,18,7167,29,23.96,41,12108,38,27529,45,2388,292,69,0,1,9,58,13,33.88,33,25.26,33
C36,Islington North,99932,48081,51851,17,38,29,12,4,7.4,13551,1.3,100,54,7,13,2,1,1,1,2,1,2,1,6,6,1,2,2,67250,4249,5048,12309,2728,576,1605,55.2,113,3.1,45212,9,77,14,723,3406,14091,13966,6752,3378,2729,167,37000,25,23,36000,29,21,5260,69904,7.5,6215,73220,8.5,7415,69904,10.6,2,2695,71468,3.8,1785,35216,5.1,910,36252,2.5,615,10057,6.1,1655,51612,3.2,420,9799,4.3,4870,11816,41.2,4430,2935,1490,1060,50664,26670,23993,4049,8.7,11,6.2,26.2,11373,2607,133,485,1389,3842,339,1254,1153,114,26,1,5,14,38,3,13,12,207,12,45212,4.6,5.8,7408,17,10,21,1,3,25,12,0,12,0,100,1229,740,1550,63,246,1831,886,0,862,0,7373,3035, -   ,8,4,2,8,15,7,2,1,1,28,2,3,21, -   ,235,125,60,240,440,210,55,15,30,855,70,95,635,4,14.7,27.8,373,303,366,294,377,310,643,208,0.65,8,27280,15,10281,9,40.11,8,5244,7,31367,7,755,24,61,6,18,41,61,67,49.48,8,40.49,8
C37,Islington South and Finsbury,95182,47154,48028,15,41,29,11,4,7.5,12716,1.2,100,60,5,12,1,1,1,1,2,0,3,1,4,6,1,2,2,65214,2985,4436,8547,3031,549,1312,46.9,107,5.3,48234,8,75,17,1403,2345,14112,14722,7343,3897,3730,682,38000,25,24,37000,27,23,5155,68695,7.5,5830,71801,8.1,7410,68695,10.8,2,2100,70177,3,1405,35973,3.9,695,34204,2,540,11891,4.5,1250,49094,2.5,310,9192,3.4,4635,11531,40.2,3450,2230,1230,905,49428,27426,22002,4366,7,8.1,5.6,20.7,16550,3097,105,412,1581,8083,412,1307,1332,174,33,1,4,17,85,4,14,14,210,48,48234,4.4,22.9,7430,14,17,25,2,1,15,13,1,14,0,101,1031,1226,1845,132,40,1096,950,39,1071,0,7487,7300,0,8,2,1,5,8,8,2,2,3,43,2,2,15,10,575,165,45,390,615,590,140,110,205,3160,110,135,1055,4,14.4,27,349,291,349,285,351,300,626,200,0.57,11,25238,21,8914,16,37.75,9,5968,9,31091,11,545,9,57,4,13,36,57,63,55.25,5,35.93,9
C41,Kensington,123992,60575,63417,15,34,31,15,5,9,13828,1.6,100,48,3,25,1,1,1,2,2,1,1,2,3,4,1,2,4,88809,5150,6063,9601,6855,561,1669,50.2,68,2.4,61517,7,42,51,974,2996,6995,9623,9423,8693,13510,9303,44000,17,34,45000,18,35,3820,85583,4.5,4770,91039,5.2,5290,85583,6.2,1.4,1770,88187,2,1165,44628,2.6,605,43559,1.4,365,10903,3.3,1075,61851,1.7,330,15433,2.1,4370,18812,23.2,2925,1875,1050,595,62773,35357,27416,3698,4.7,5.3,3.8,16.1,15662,2250,111,445,1359,7933,666,944,1746,126,18,1,4,11,64,5,8,14,195,30,61517,3.2,15.4,8928,20,11,24,2,2,19,15,0,8,0,100,1747,992,2120,155,165,1657,1370,39,684,0,8968,7935,0,5,2,1,6,15,9,2,1,2,36,1,2,19,10,360,135,60,470,1215,710,180,65,170,2830,65,135,1525,4,15.2,29.1,413,327,389,314,430,339,682,209,0.26,31,18944,41,7337,28,25,39,12941,41,29874,26,1522,125,75,1,9,21,44,28,24.74,50,20.52,44
C43,Kingston and Surbiton,114494,56686,57809,17,31,29,16,6,28.4,4036,1.5,100,78,2,5,0,0,1,1,3,1,0,3,1,1,0,1,2,93307,2288,8349,1715,4017,836,1621,60.4,93,0.6,47482,5,79,16,151,2428,11328,15805,10233,5212,2195,130,43000,18,30,39000,22,26,2845,74110,3.8,2840,79560,3.6,2705,74110,3.6,0.7,980,76807,1.3,620,39926,1.6,360,36881,1,255,11528,2.2,540,49727,1.1,185,15552,1.2,3095,19567,15.8,1940,1310,630,435,57946,31902,26044,4152,3.3,4.1,2.4,10.5,9086,1852,107,222,893,3843,358,1204,469,79,16,1,2,8,34,3,11,4,180,15,47482,3.8,8.3,28417,9,4,12,1,1,29,39,1,6,0,100,2427,1082,3331,160,180,8118,11109,246,1764,0,28366,4640,0,5,7,3,6,15,7,3,1,2,33,2,2,13,15,250,345,130,275,705,330,125,45,95,1550,80,90,585,7,16,28.6,422,331,392,312,458,352,743,215,0.02,68,11500,62,4187,60,13.91,65,20177,64,22881,69,3759,620,72,0,0,1,17,1,16.76,64,13.66,63
C60,Lewisham East,99727,47966,51762,20,32,30,13,6,14.8,6749,1.3,100,65,3,5,2,1,1,1,2,0,0,2,11,5,2,1,1,68672,3560,3703,16690,1498,750,1770,70.7,112,8.5,42573,23,72,5,1345,8315,17306,10257,3151,1293,771,135,37000,25,23,34000,30,19,4745,64319,7.4,4440,67985,6.5,5555,64319,8.6,1.5,1865,66018,2.8,1255,33200,3.8,610,32818,1.9,490,9859,5,1095,45250,2.4,280,10909,2.6,4035,14647,27.5,3170,2130,1035,810,48957,26244,22713,4743,6.5,8.1,4.6,17.1,10270,2914,105,367,1174,2720,535,1367,881,103,29,1,4,12,27,5,14,9,198,42,42573,4.7,21.2,14779,13,4,16,1,2,35,23,0,6,0,100,1850,539,2339,94,282,5225,3465,51,935,0,14775,1820,0,3,9,4,5,17,9,3,1,1,29,3,3,13,5,60,170,70,90,305,155,55,20,15,525,50,45,230,8,14.9,27.4,383,303,354,290,402,311,656,207,0.3,27,20362,39,7076,30,29.29,26,9466,24,28985,39,2577,329,63,0,1,20,57,32,34.61,31,24.16,35
C61,Lewisham West and Penge,105438,51599,53839,20,32,30,13,5,15.9,6649,1.4,100,66,3,5,2,1,1,1,2,0,1,1,9,6,1,1,1,74832,4196,3550,17028,1618,728,1906,70.6,113,2.6,46757,29,66,5,1397,12008,16072,11092,3745,1643,775,25,38000,24,24,36000,27,22,4435,69425,6.4,4790,73383,6.5,5995,69425,8.6,1.6,2220,71326,3.1,1535,36062,4.3,685,35264,1.9,595,10589,5.6,1260,48798,2.6,365,11939,3.1,3965,14232,27.9,3460,2305,1160,765,52793,28402,24390,5314,6.6,8.1,4.8,14.4,9537,2569,127,397,1322,2540,307,1463,657,91,24,1,4,13,24,3,14,6,183,21,46757,3.9,11.5,15900,12,4,16,1,2,31,26,0,8,0,100,1914,623,2469,158,277,4951,4181,68,1259,0,15858,2215, -   ,7,10,4,7,13,7,4,1,1,30,3,2,13, -   ,165,225,80,145,290,150,80,25,25,655,55,50,285,8,15,27.4,390,310,357,295,427,327,673,210,0.29,28,21834,32,7698,26,28.35,28,10347,28,29120,37,1707,159,67,0,2,20,56,30,34.15,32,25.54,30
C62,"Lewisham, Deptford",108370,53215,55158,18,41,28,11,3,12.2,8879,1.4,100,47,3,7,2,1,1,1,1,1,1,1,14,13,3,2,2,55647,4376,3682,29407,4140,608,1996,63.2,129,6,46491,43,55,2,4579,15314,13939,9561,2198,793,85,22,36000,26,21,34000,31,19,4680,76821,6.1,5040,80010,6.3,6655,76821,8.7,1.8,2395,78287,3.1,1700,39406,4.3,695,38881,1.8,550,13969,3.9,1530,54104,2.8,315,10214,3.1,3975,10885,36.5,4130,2765,1375,905,54959,29569,25390,5827,7.5,9.4,5.4,15.5,13367,3425,128,683,1242,4308,505,1501,1325,123,32,1,6,12,40,5,14,12,201,21,46491,4.3,10.4,12123,14,8,18,1,4,25,19,1,11,0,101,1633,926,2175,150,422,3039,2320,72,1386,0,12206,2270,0,8,8,3,7,18,9,3,1,2,23,2,2,14,5,190,180,60,150,410,205,75,20,35,525,50,50,310,7,14.5,27.3,375,301,356,290,395,314,639,204,0.37,22,24389,23,8779,18,32.06,20,7952,17,29641,28,1165,70,65,1,6,29,65,45,39.4,22,32.55,15
C63,Leyton and Wanstead,94011,46780,47231,20,33,29,14,5,15.3,6135,1.2,100,49,3,7,1,1,1,1,6,8,2,2,9,7,2,1,1,52769,3395,15950,15443,1783,571,1797,78.7,94,3.3,38783,33,59,8,1908,10871,13665,6012,3317,2104,870,36,38000,24,24,35000,30,20,3690,60881,6.1,3805,64484,5.9,4465,60881,7.3,1.2,2115,62648,3.4,1465,32130,4.6,650,30518,2.1,560,10743,5.2,1240,40712,3,315,11193,2.8,3700,13239,27.9,3240,2185,1065,710,43141,23909,19232,4530,7.5,9.1,5.5,15.7,10018,1957,108,588,1327,3484,615,1051,760,107,21,1,6,14,37,7,11,8,147,15,38783,3.8,10.2,15291,12,4,15,1,1,24,35,2,6,0,100,1785,578,2250,121,205,3673,5387,359,932,1,15329,1940, -   ,7,9,4,11,16,7,2,1,1,28,2,3,11, -   ,135,165,75,210,305,130,35,25,20,535,45,50,210,7,15,27.9,367,305,341,286,390,321,654,204,0.39,20,21448,33,6492,34,31.12,23,9356,23,30684,14,1397,102,60,2,7,24,49,40,38.59,23,28.31,22
